title,price,rating,reviews,availability
"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9",,4.5 out of 5 stars,"4,489 ratings",In Stock
"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",,4.4 out of 5 stars,"1,124 ratings",In Stock
"ACEMAGIC Gaming Laptop,Laptop with AMD Ryzen 7 5700U Processor(8C/16T, Up to 4.3GHz), 16.1-inch FHD Display, 16GB RAM 512GB ROM Laptop Computer Support WiFi 6, 53Wh Battery, with Backlit Keyboard",,5.0 out of 5 stars,6 ratings,In Stock
"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display, AMD Ryzen 5 7535HS, 16GB DDR5 RAM, 1TB PCIe M.2 SSD, NVIDIA GeForce RTX 2050, HDMI, Webcam, Backlit Keyboard, Wi-Fi 6, Windows 11 Home, Silver",,4.3 out of 5 stars,707 ratings,Only 12 left in stock - order soon.
"ACEMAGIC 2024 Newest Gaming Laptop with Backlit Keyboard, 16.1-inch FHD Display Laptop with AMD Ryzen 7 5700U Processor(8C/16T), 16GB RAM 512GB ROM Laptop Computer, Support WiFi 6, 53Wh Battery",,4.2 out of 5 stars,43 ratings,Only 18 left in stock - order soon.
"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-73B9",,4.4 out of 5 stars,131 ratings,In Stock
"ASUS TUF Gaming A15 (2024) Gaming Laptop, 15.6” FHD 144Hz Display, NVIDIA® GeForce RTX™ 2050, AMD Ryzen™ 5 7535HS, 8GB DDR5, 512GB PCIe® Gen4 NVMe™ SSD, Wi-Fi 6, Windows 11, FA506NF-ES51",,4.4 out of 5 stars,521 ratings,In Stock
"MSI Katana 15 15.6"" 144Hz FHD Gaming Laptop: 13th Gen Intel Core i7, RTX 4070, 16GB DDR5, 1TB NVMe SSD, USB-Type C, Cooler Boost 5, Win11 Home: Black B13VGK-484US",,4.3 out of 5 stars,290 ratings,Only 1 left in stock - order soon.
"MSI Thin 15 15.6” 144Hz FHD Gaming Laptop: Intel Core i7-12650H, NVIDIA Geforce RTX 4050, 16GB DDR5, 512GB NVMe SSD, Cooler Boost 5, Win 11: Black B12VE-2023US",,5.0 out of 5 stars,6 ratings,In Stock
"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 QHD 240Hz, GeForce RTX 4070, Intel® Core™ i9-14900HX, 32GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11 Pro, G614JIR-XS96",,4.4 out of 5 stars,112 ratings,In Stock
"Acer Predator Helios Neo 16 Gaming Laptop | Intel Core i7-13650HX | NVIDIA GeForce RTX 4060 | 16"" WUXGA 1920 x 1200 165Hz G-SYNC Display | 16GB DDR5 | 512GB Gen 4 SSD | Killer Wi-Fi 6E | PHN16-71-76H5",,4.5 out of 5 stars,"2,032 ratings",In Stock
"MSI Newest GF63 Thin Gaming Laptop, 15.6"" FHD 144Hz, Intel i5-11400H, RTX 3050, 16GB RAM, 512GB NVMe SSD, Windows 11, Aluminum Black",,4.4 out of 5 stars,89 ratings,Only 12 left in stock - order soon.
"16 Inch Laptop Computer, Gaming Laptop, 16GB RAM 512GB SSD, Intel 12th Gen N95 Processor(up to 3.4GHz), FHD 1920 * 1200, 180 Angle Opening, Fingerprint Unlock, Backlit Keyboard, Windows 11 Pro",,4.1 out of 5 stars,322 ratings,In Stock
"ASUS TUF Gaming F17 (2024) Gaming Laptop, 17.3” FHD 144Hz IPS-Level Display, NVIDIA® GeForce RTX™ 3050, Intel® Core™ i5-12500H, 8GB DDR4, 1TB PCIe Gen3 SSD, Wi-Fi 6, Windows 11, FX707ZC-ES52",,4.1 out of 5 stars,259 ratings,In Stock
ACEMAGIC Laptop Computer AMD Ryzen 7 5700U 16.1-inch 16GB DDR4 512GB NVMe SSD Gaming Laptop Windows Laptop Office Laptop Home Laptop Windows11 IPS FHD WIFI6 BT5.2 HDMI Type-C USB3.2,,4.0 out of 5 stars,151 ratings,Only 8 left in stock - order soon.
"ASUS ROG Strix G15 (2022) Gaming Laptop, 15” 16:10 FHD 144Hz, GeForce RTX 3050, AMD Ryzen™ 7 6800H/HS, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G513RC-ES73, Eclipse Gray",,4.4 out of 5 stars,186 ratings,In Stock
